"Name","Version","Purl","License"
"@babel/plugin-transform-typeof-symbol","7.27.1","pkg:npm/@babel/plugin-transform-typeof-symbol@7.27.1","MIT"
"@babel/plugin-transform-typescript","7.28.0","pkg:npm/@babel/plugin-transform-typescript@7.28.0","MIT"
"@babel/plugin-transform-unicode-escapes","7.27.1","pkg:npm/@babel/plugin-transform-unicode-escapes@7.27.1","MIT"
"@babel/plugin-transform-unicode-property-regex","7.27.1","pkg:npm/@babel/plugin-transform-unicode-property-regex@7.27.1","MIT"
"@babel/plugin-transform-unicode-regex","7.27.1","pkg:npm/@babel/plugin-transform-unicode-regex@7.27.1","MIT"
"@babel/plugin-transform-unicode-sets-regex","7.27.1","pkg:npm/@babel/plugin-transform-unicode-sets-regex@7.27.1","MIT"
"@babel/preset-env","7.28.3","pkg:npm/@babel/preset-env@7.28.3","MIT"
"@babel/preset-modules","0.1.6-no-external-plugins","pkg:npm/@babel/preset-modules@0.1.6-no-external-plugins","MIT"
"@babel/preset-react","7.27.1","pkg:npm/@babel/preset-react@7.27.1","MIT"
"@babel/preset-typescript","7.27.1","pkg:npm/@babel/preset-typescript@7.27.1","MIT"
"@babel/runtime","7.28.3","pkg:npm/@babel/runtime@7.28.3","MIT"
"@babel/template","7.27.2","pkg:npm/@babel/template@7.27.2","MIT"
"@babel/traverse","7.28.3","pkg:npm/@babel/traverse@7.28.3","MIT"
"@babel/types","7.28.2","pkg:npm/@babel/types@7.28.2","MIT"
"@bcoe/v8-coverage","0.2.3","pkg:npm/@bcoe/v8-coverage@0.2.3","MIT"
"@csstools/normalize.css","12.1.1","pkg:npm/@csstools/normalize.css@12.1.1","CC0-1.0"
"@csstools/postcss-cascade-layers","1.1.1","pkg:npm/@csstools/postcss-cascade-layers@1.1.1","CC0-1.0"
"@csstools/postcss-color-function","1.1.1","pkg:npm/@csstools/postcss-color-function@1.1.1","CC0-1.0"
"@csstools/postcss-font-format-keywords","1.0.1","pkg:npm/@csstools/postcss-font-format-keywords@1.0.1","CC0-1.0"
"@csstools/postcss-hwb-function","1.0.2","pkg:npm/@csstools/postcss-hwb-function@1.0.2","CC0-1.0"
"@csstools/postcss-ic-unit","1.0.1","pkg:npm/@csstools/postcss-ic-unit@1.0.1","CC0-1.0"
"@csstools/postcss-is-pseudo-class","2.0.7","pkg:npm/@csstools/postcss-is-pseudo-class@2.0.7","CC0-1.0"
"@csstools/postcss-nested-calc","1.0.0","pkg:npm/@csstools/postcss-nested-calc@1.0.0","CC0-1.0"
"@csstools/postcss-normalize-display-values","1.0.1","pkg:npm/@csstools/postcss-normalize-display-values@1.0.1","CC0-1.0"
"@csstools/postcss-oklab-function","1.1.1","pkg:npm/@csstools/postcss-oklab-function@1.1.1","CC0-1.0"
"@csstools/postcss-progressive-custom-properties","1.3.0","pkg:npm/@csstools/postcss-progressive-custom-properties@1.3.0","CC0-1.0"
"@csstools/postcss-stepped-value-functions","1.0.1","pkg:npm/@csstools/postcss-stepped-value-functions@1.0.1","CC0-1.0"
"@csstools/postcss-text-decoration-shorthand","1.0.0","pkg:npm/@csstools/postcss-text-decoration-shorthand@1.0.0","CC0-1.0"
"@csstools/postcss-trigonometric-functions","1.0.2","pkg:npm/@csstools/postcss-trigonometric-functions@1.0.2","CC0-1.0"
"@csstools/postcss-unset-value","1.0.2","pkg:npm/@csstools/postcss-unset-value@1.0.2","CC0-1.0"
"@csstools/selector-specificity","2.2.0","pkg:npm/@csstools/selector-specificity@2.2.0","CC0-1.0"
"@cyclonedx/bom","4.1.2","pkg:npm/@cyclonedx/bom@4.1.2","Apache-2.0"
"@emotion/babel-plugin","11.13.5","pkg:npm/@emotion/babel-plugin@11.13.5","MIT"
"@emotion/cache","11.10.8","pkg:npm/@emotion/cache@11.10.8","MIT"
"@emotion/cache","11.14.0","pkg:npm/@emotion/cache@11.14.0","MIT"
"@emotion/hash","0.9.2","pkg:npm/@emotion/hash@0.9.2","MIT"
"@emotion/is-prop-valid","1.3.1","pkg:npm/@emotion/is-prop-valid@1.3.1","MIT"
"@emotion/memoize","0.8.1","pkg:npm/@emotion/memoize@0.8.1","MIT"
"@emotion/memoize","0.9.0","pkg:npm/@emotion/memoize@0.9.0","MIT"
"@emotion/react","11.10.8","pkg:npm/@emotion/react@11.10.8","MIT"
"@emotion/serialize","1.3.3","pkg:npm/@emotion/serialize@1.3.3","MIT"
"@emotion/sheet","1.4.0","pkg:npm/@emotion/sheet@1.4.0","MIT"
"@emotion/styled","11.10.8","pkg:npm/@emotion/styled@11.10.8","MIT"
"@emotion/unitless","0.10.0","pkg:npm/@emotion/unitless@0.10.0","MIT"
"@emotion/use-insertion-effect-with-fallbacks","1.2.0","pkg:npm/@emotion/use-insertion-effect-with-fallbacks@1.2.0","MIT"
"@emotion/utils","1.4.2","pkg:npm/@emotion/utils@1.4.2","MIT"
"@emotion/weak-memoize","0.3.1","pkg:npm/@emotion/weak-memoize@0.3.1","MIT"
"@emotion/weak-memoize","0.4.0","pkg:npm/@emotion/weak-memoize@0.4.0","MIT"
"@eslint/eslintrc","2.1.4","pkg:npm/@eslint/eslintrc@2.1.4","MIT"
"@eslint/js","8.39.0","pkg:npm/@eslint/js@8.39.0","MIT"
"@eslint-community/eslint-utils","4.7.0","pkg:npm/@eslint-community/eslint-utils@4.7.0","MIT"
"@eslint-community/regexpp","4.12.1","pkg:npm/@eslint-community/regexpp@4.12.1","MIT"
"@humanwhocodes/config-array","0.11.14","pkg:npm/@humanwhocodes/config-array@0.11.14","Apache-2.0"
"@humanwhocodes/module-importer","1.0.1","pkg:npm/@humanwhocodes/module-importer@1.0.1","Apache-2.0"
"@humanwhocodes/object-schema","2.0.3","pkg:npm/@humanwhocodes/object-schema@2.0.3","BSD-3-Clause"
"@isaacs/cliui","8.0.2","pkg:npm/@isaacs/cliui@8.0.2","ISC"
"@istanbuljs/load-nyc-config","1.1.0","pkg:npm/@istanbuljs/load-nyc-config@1.1.0","ISC"
"@istanbuljs/schema","0.1.3","pkg:npm/@istanbuljs/schema@0.1.3","MIT"
